Bavarian dialect,German,Meaning,Factual similarity,Grammar differs?,Reasons?
Der Zerrissene is a Poss'n mit G'saung in drei Akt vom Johann Nestroy.,Der Zerrissene ist eine Posse mit Gesang in drei Akten von Johann Nestroy.,5.0,,False,
"Er untaqueat de Stroß ""AB 6"" und mindt westli vo ""Lichtenau"" im Natuaschutzgebiet ""Hafenlohrtoi"" in de ""Hafenlohr"".","Er unterquert die die Straße ""AB6"" und mündet westlich von ""Lichtenau"" im Naturschutzgebiet ""Hafenlohrtal"" in die ""Hafenlohr"".",5.0,,False,
"Da Beziak hod a Fläche vo 1.064 Quadratkilometa, dovo san 7 Quadratkilometa Wossafläche.","Das County hat eine Fläche von 1.063,9 Quadratkilometern, wovon 8,9 Quadratkilometer Wasserfläche sind.",4.0,Minor factual inconsistency,False,
De Mainza Kurfiaschtn hom im 15. Joarhundad de easchtn Glosmocha aus Behmen und Flandern ghoid.,Die Mainzer Kurfürsten holten im 15. Jahrhundert die ersten Glasmacher aus Böhmen und Flandern heran.,5.0,,True,
De Kapej an da Wolfratshausa Stroß 6 is a gschitzts Baudenkmoi.,Die Kapelle an der Wolfratshauser Straße 6 ist ein geschütztes Baudenkmal.,5.0,,False,
Mid da Grindung van Stoot Santander 1857 is Girón za da Gmoa worn.,Mit der Gründung des Staates Santander 1857 wurde Girón zur Gemeinde.,5.0,,False,
"De Nomen wean't noch Gschlecht (Menlich/Weiblich) unt Zol untaschiad'n, die A'tikel zuasetzlich noch bestimt unt unbestimt.","Substantive auf –e (egal, ob maskuline oder feminine) nehmen die Endung –is an.",2.0,,False,
De Gmoa Schimborn is am 1. Mai 1978 aufglest worn.,Die Gemeinde Schimborn wurde am 1. Mai 1978 aufgelöst. Seitdem gehören sowohl Schimborn als auch Königshofen zum Markt Mömbris.,3.0,The dialect sentence misses details,True,
Bei da Landtagswoih 2013 hoda des Direktmandat im Stimmkreis Main-Spessart gwunna.,"Bei der Landtagswahl 2013 gewann er das Direktmandat im Stimmkreis Main-Spessart, das er bei der Landtagswahl 2018 verteidigte.",3.0,The dialect sentence misses details,True,
Desha County is a Beziak im Bundesstoot Arkansas in da USA.,Das Desha County ist ein County im US-Bundesstaat Arkansas.,5.0,,False,different phrasing
On de Ufa bfindn se Wäjda und Sumpfgebiete.,An den Ufern befinden sich Wälder und Sumpfgebiete.,5.0,,False,
"Olladings zoang Woffn und Weakzeigfunde, doss im heiting Gebiet vo Nassig scho voa Kristi Geburt Menschn glebd hom.","Allerdings zeigen Waffen und Werkzeugfunde, dass im heutigen Gebiet von Nassig bereits vor Christi Geburt Menschen lebten.",5.0,,True,
Randolph County is a Beziak im Bundesstoot Alabama in da USA.,Randolph County ist ein County im Bundesstaat Alabama der Vereinigten Staaten.,5.0,,False,synonym used
"In da Frankoprovenzalischn Sproch hoaßn de Monna ""Le-z-Èntrolèn"" und e Fraun ""Le-z-Èntrolèntse"".","Im Frankoprovenzalischen heißen die Männer ""Le-z-Èntrolèn"", die Frauen ""Le-z-Èntrolèntse"".",5.0,,False,synonym used
Banes is a Municipio (Vawoitungseihheit) und a Stod im Ostn vo Kuba und gheat zua Provinz Holguín.,Banes ist Municipio und eine Stadt im Osten Kubas und gehört zur Provinz Holguín.,4.0,The dialect sentence adds details,False,
"De Origenäuhaundschrift vom Nestroy mit'n Tit'l ""Martha oder Die Mischmonder-Markt-Mägde-Mietung.","Eine Originalhandschrift Nestroys mit dem Titel ""Martha oder Die Mischmonder-Markt-Mägde-Mietung.",,,False,both are incomplete
Om 1. Mai 1978 is de bis dohi sejbstständige Gmoa noch Mönchberg eihgmoandd worn.,Am 1. Mai 1978 wurde die Gemeinde Schmachtenberg nach Mönchberg eingemeindet.,3.0,Different details,True,
"Nåch Osten grenzt Oberlaa aun Rothneusiedl und nåch Westen aun Unterlaa, eb'nfois zwaa Bezarksteula von Favoritn.","Flussaufwärts grenzt der Ort an Rothneusiedl und flussabwärts an Unterlaa, die beide ebenfalls Bezirksteile von Favoriten sind.",4.0,Different details,False,
Vo 1938 bis 1946 hod de Provinz Apuania ghoassn.,Von 1938 bis 1946 hieß die Provinz Apuania.,5.0,,True,
"De Nochboagmoana san: Locana, Sparone, Pratiglione, Forno Canavese, Coassolo Torinese, Rocca Canavese, Balangero, Mathi, Nole und Grosso.","Die Nachbargemeinden sind Locana, Sparone, Pratiglione, Forno Canavese, Coassolo Torinese, Rocca Canavese, Balangero, Mathi, Nole und Grosso.",5.0,,False,
Neuhof is a Ortstei vo Fellen im Landkroas Main-Spessart in Bayern.,Neuhof ist ein Ortsteil von Fellen im Landkreis Main-Spessart in Bayern.,5.0,,False,
De Läng vom Tunnel betrogt 730 Meta.,Die Länge des Tunnels beträgt 730 Meter.,5.0,,False,
Unta Ubuntu sowia Debian is SELinux iba de Paketvawoidung nochinstalliabar.,Unter Ubuntu sowie Debian ist dieses über die Paketverwaltung nachinstallierbar.,4.0,The dialect sentence adds details,False,
"De Nochboaorte vo Baranzate san: Bollate, Mailand, Garbagnate Milanese und Novate Milanese.","Die Nachbarorte von Baranzate sind Bollate, Mailand, Garbagnate Milanese und Novate Milanese.",5.0,,False,
Da Sitz vo da Vawoitung is Jena.,Der Sitz der Parish-Verwaltung (Parish Seat) ist Jena.,4.0,The dialect sentence misses details,False,
Bis za da Gebietsrefoam 2017 woa Kunda a sejbststendige Gmoa.,"Bis zur Gebietsreform im Jahr 2017 war Kunda eine selbständige Gemeinde, seither gehört sie verwaltungstechnisch zu Viru-Nigula.",3.0,The dialect sentence misses details,False,
"De Nochboagmoana san Bolzano Novarese, Borgomanero, Briga Novarese, Gargallo, Invorio, Orta San Giulio, Pogno, San Maurizio d’Opaglio und Soriso.","Die Nachbargemeinden sind Bolzano Novarese, Borgomanero, Briga Novarese, Gargallo, Invorio, Orta San Giulio, Pogno, San Maurizio d’Opaglio und Soriso.",5.0,,False,
Des Kreiz is laut Inschrift am Sockl 1902 earicht worn.,Es wurde laut Inschrift am Sockel 1902 errichtet.,4.0,The dialect sentence adds details,True,
Da Bärlasboch is a direkta Zuafluss vo da Saale.,Der Bärlasbach ist ein direkter Zufluss der Saale.,5.0,,False,
"Feiaweaholympiade, de olle via Joa van CTIF, am internationaln Feiaweahvabond, on vaschiedne Orte ausdrong wean.","Feuerwehrolympiade, die alle vier Jahre vom Weltfeuerwehrverband CTIF jeweils in anderen Städten veranstaltet wird.",4.0,Different details,False,
Späta is de Mui in a modeans Gosthaus mid Pension umbaut worn.,Später wurde die Mühle in ein modernes Gasthaus mit Pension umgebaut.,5.0,,True,
"Im Voiksmund wead da Ort ""Öwwerschur"" gnennd.","Im Volksmund wird der Ort ""Öwwerschoar"" genannt.",5.0,,False,
De Streckn 250 bis 511 laffn olle in oam oigmoana noadost-sidwestlichn Musta.,Die Strecken 250 bis 511 laufen alle in einem allgemeinen nordost-südwestlichen Muster.,5.0,,False,
Sitz vo da Vawoitungsgmoaschoft is Geisenfeld.,Sitz der Verwaltungsgemeinschaft ist Geisenfeld.,5.0,,False,
De Stod Invercargill liegd om Oreti River 5 km estli vo da Bucht.,Die Stadt Invercargill liegt am 5 km östlich der Bucht.,,,False,German is incomplete
Akershus hod iwa 2000 Seen und an Haufa Fliss.,Akershus hat über 2.000 Seen und zahlreiche Flüsse.,5.0,,False,synonym used
"De Eihwohna wean ""Collongeards"" gnennd.","Die Einwohner werden ""Collongeards"" genannt.",5.0,,False,
"Ea hod si s leistn kenna, doss a ob 1884 in Bau und in Betrieb vo da Kuffner-Steanwartn peckt.","Im Jahr 1850 wurde sie von Ignaz und Jakob Kuffner, die zuvor das dortige Brauhaus gepachtet hatten, übernommen.",2.0,,False,
Partnagmoa in Deitschland is Klettgau (Gemeinde).,Partnergemeinde in Deutschland ist Klettgau (Gemeinde).,5.0,,False,
"De Gengd vo da heitign Stod is seit 1607 eakundt, de easchte Siedlung 1628 grindt worn.",Die Gegend der heutigen Stadt wurde seit 1607 durch europäische Siedler erkundet.,3.0,Different details,False,
Im 15. Joarhundad is a dem heilign Bartholomäus gweihte Kiach in da Ortsmiddn earicht worn.,Im 15. Jahrhundert wurde eine dem heiligen Bartholomäus geweihte Kirche in der Ortsmitte errichtet.,5.0,,True,
Ois Prolepsis vasteht ma des gengüba m Normoivahoitn um a Vegetationsperiode voazogne Austreibn vo Sprossn.,Als Prolepsis versteht man das gegenüber dem Normalverhalten um eine Vegetationsperiode vorgezogene Austreiben von Sprossen.,5.0,,False,
"Da Noma Altenbuch bsteht ausn middlhochdeitschn Weatan ""alt"" und ""buoch"".","Der Name Altenbuch besteht aus den mittelhochdeutschen Wörtern ""alt"" und ""buoch"".",5.0,,False,
Bis zua bejgischn Gmoagebietsreform 1977 woar Ronquières a sejbstständige Gmoa.,Bis zur belgischen Gemeindegebietsreform 1977 war Ronquières selbständige Gemeinde.,5.0,,False,
De Tungabhadra mindd schliassli im Bundesstoot Telangana in de Krishna.,Die Tungabhadra mündet schließlich im Bundesstaat Telangana in die Krishna.,5.0,,False,
Da Nam van Ort leitd se vo dea großn Ebane Çukurova ob.,Der Name des Ortes leitet sich von der großen Ebene Çukurova ab.,5.0,,False,
"Leipzig: Druck und Verlag von Philipp Reclam jun."" (ohne Joahresaugåb') nennt ausdrücklich in Nestroy ois Auta von dem Text.","Leipzig: Druck und Verlag von Philipp Reclam jun."" (ohne Jahresangabe) nennt ausdrücklich Nestroy als Autor des Textes.",,,False,both are incomplete
De Gmoa liegt in da Weinonbauregion Franciacorta am Fuaß vom Monte Orfano.,Die Gemeinde liegt in der Weinanbauregion Franciacorta am Fuße des Monte Orfano.,5.0,,False,
As Zementweak baud seit iwa 100 Joar an Koichstoa ob.,Das Zementwerk baut seit über 100 Jahren das Kalkgestein ab.,5.0,,False,
Am 1. Jenna 1974 is de Gmoa Hofsteinach aufglest und in an Moakt Mitwitz im Landkroas Kronach eihgliedat worn.,Am 1. Januar 1974 wurde die Gemeinde Hofsteinach aufgelöst und in den Markt Mitwitz im Landkreis Kronach eingegliedert.,5.0,,True,
"Weihenzell (umgongssprochli: ""Waiətsél"") is a Gmoa im middlfränkischn Landkroas Ansbach und Sitz vo da Vawoitungsgmoaschoft Weihenzell.","Weihenzell (umgangssprachlich ""Waiətsél"") ist eine Gemeinde im mittelfränkischen Landkreis Ansbach und zählt zur Metropolregion Nürnberg.",3.0,Different details,False,
Im 20. Joarhundad hod Acton a stoaks Bevejkarungswochstum vo uma 2000 um des Zehnfoche af iwa 20.000 ealebt.,Im 20. Jahrhundert erlebte Acton ein starkes Bevölkerungswachstum von etwa 2.000 um das Zehnfache auf über 20.000.,5.0,,True,
"Virton liegt fimf Kilometa neadli, Arlon 30 Kilometa noadestli und de Stod Luxnbuag uma 50 Kilometa estli.","Virton liegt fünf Kilometer nördlich, Arlon 30 Kilometer nordöstlich und die Stadt Luxemburg ca. 50 Kilometer östlich.",5.0,,False,
Am 1. Juli 1972 san Gemeinfeld und Leuzendorf in Untafrankn dazua kema.,Am 1. Juli 1972 kamen Gemeinfeld und Leuzendorf in Unterfranken hinzu.,5.0,,True,
Schladerlmühle woar a Ortstei vo da Gmoa Treffelstein im obapfäjza Landkroas Cham in Bayern.,Schladerlmühle war ein Ortsteil der Gemeinde Treffelstein im Oberpfälzer Landkreis Cham in Bayern.,5.0,,False,
"Ogrenznde Gmoan san: Cinto Caomaggiore, Cordovado (PN), Portogruaro, Sesto al Reghena (PN) und Teglio Veneto.","Angrenzende Gemeinden sind Cinto Caomaggiore, Cordovado (PN), Portogruaro, Sesto al Reghena (PN) und Teglio Veneto.",5.0,,False,
Westli vo da Posshechn liegt de ehemolige Tongruam Marloffstein.,Westlich der Passhöhe liegt die ehemalige Tongrube Marloffstein.,5.0,,False,
Im Schlerngebiet bfindn se de Gmoana: Kastelruth und Völs am Schlern.,"Die nördliche Hälfte des Schlerngebiets gehört zur Gemeinde Kastelruth, die südliche zur Gemeinde Völs am Schlern.",3.0,The dialect sentence misses details,False,
"Da Noma Pielhof hod se üba Hof zu Pyhel, Pichelhof entwicklt.","Der Name Pielhof entwickelte sich über Hof zu Pyhel, Pichelhof.",5.0,,True,
Kühlgrün is a Ortstei vo da Gmoa Tröstau im Landkroas Wunsiedel im Fichtelgebirge.,Kühlgrün ist ein Gemeindeteil der Gemeinde Tröstau im Landkreis Wunsiedel im Fichtelgebirge.,4.0,,False,different words
"Da Noma bedeit demnoch ""Duros Heim"".","Der Name bedeutet demnach ""Duros Heim"".",5.0,,False,
Da Rajon Orscha liegd im Sidostn vo da Wizebskaja Woblasz.,Der Rajon Orscha liegt im Südosten der Wizebskaja Woblasz.,5.0,,False,
"Am 1. Mai 1978 is de Vawoitungsgmoaschoft Pettendorf, bstehnd aus Pielenhofen, Pettendorf und Wolfsegg mid Sitz in Pettendorf grindt worn.","Am 1. Mai 1978 wurde die Verwaltungsgemeinschaft Pettendorf, bestehend aus Pielenhofen, Pettendorf und Wolfsegg mit Sitz in Pettendorf gegründet.",5.0,,True,
Ea hod oba no foaheara an John Younger umbrochd.,Zuvor konnte er allerdings noch John Younger erschießen.,4.0,,True,"subtle diff.  in meaning:
umbrochd ≠ erschießen"
De Blue Ridge Mountains san a Gebiagszug im Ostn vo de USA.,Die Blue Ridge Mountains sind ein Gebirgszug im Osten der USA.,5.0,,False,
"Andare leichdane Weg fian fo da Renghittn, Bomoas und ""Brandten"" afn Hennakobe.","Weitere Anstiege führen von Außenried, Regenhütte, Bodenmais und Brandten auf den Hennenkobel.",,,False,idk if leichdane Weg = Anstieg
Fulton County is a Beziak im Bundesstoot Arkansas in da USA.,Das Fulton County ist ein County im US-Bundesstaat Arkansas.,5.0,,False,different phrasing
Sei Gedenkdog katholisch und orthodox werd am 21. Jenna gfeiat.,"Er wird als Heiliger verehrt, sein Gedenktag katholisch und orthodox wird am 21. Januar gefeiert.",3.0,The dialect sentence misses details,False,
Am 1. Juni 1976 hom se de sejbstständign Gmoana Roden und Ansbach zua nein Gmoa Roden zammglosssn.,Am 1. Juni 1976 schlossen sich die selbstständigen Gemeinden Roden und Ansbach zur neuen Gemeinde Roden zusammen.,5.0,,True,
De Nochboaorte san Piano di Sorrento und Vico Equense.,Die Nachbarorte sind Piano di Sorrento und Vico Equense.,5.0,,False,
Am 30. Meaz 1859 is da Vatrog midm Fischa ausglaffa und de Hittn woa lah gstandn.,"Am 30. März 1859 ging der Pachtvertrag mit Fischer zu Ende, und die Hütte stand leer.",5.0,,True,synonyms used
"Duach de Gmoa fiahd de friahare ""Strada statale 83 Marsicana"" (heit a Regionoistroß) vo.","Durch die Gemeinde führt die frühere ""Strada statale 83 Marsicana"" (heute eine Regionalstraße) von.",,,False,both are incomplete
Am 1. Jenna 1971 is Algersdorf in de Gmoa Kirchensittenbach eihgliedat worn.,Am 1. Januar 1971 wurde Algersdorf in die Gemeinde Kirchensittenbach eingegliedert.,5.0,,True,
Da Siez van Kroasamt woa in Safiental.,Der Sitz des Kreisamtes war in Safiental.,5.0,,False,
Im Joar 2001 hod da Ortstei 884 Eihwohna ghod.,Im Jahr 2001 hatte der Ortsteil 884 Einwohner.,5.0,,True,
Diese is am 1. Mai 1978 (mid Flohkraut) zu Moakt Rettenbach eihgmoant worn.,Diese wurde am 1. Mai 1978 (mit Flohkraut) in Markt Rettenbach eingemeindet.,5.0,,True,
Da Aubach is a linka Zuafluss vo da Elsava im Landkroas Miltenberg im bayerischn Spessart.,Der Aubach ist ein linker Zufluss der Elsava im Landkreis Miltenberg im bayerischen Spessart.,5.0,,False,
"Caneggio liegt im Muggiotal, owahoib vo Mendrisio, umgem vo Weinbeage und Wäjda.","Caneggio liegt, umgeben von Weinbergen und Wäldern, im Muggiotal oberhalb von Mendrisio.",5.0,,False,different phrasing
De Gmoa ghead zan Arrondissement Évreux und zan Kanton Évreux-3 (bis 2015: Kanton Évreux-Sud).,Die Gemeinde gehört zum Arrondissement Évreux und zum Kanton Évreux-3 (bis 2015: Kanton Évreux-Sud).,5.0,,False,
Da Willamette River is a Nemfluss van Columbia River mid ana Läng vo 301 Kilometa im noadwestlichn Oregon.,Der Willamette River ist ein Nebenfluss des Columbia River mit einer Länge von ungefähr 300 Kilometern im nordwestlichen Oregon.,4.0,Minor factual inconsistency,False,
De Quej vom Ziegelbach befindt se eigntli zwischn Duttenbrunn und Himmelstadt.,Die Quelle des Ziegelbachs befindet sich eigentlich zwischen Duttenbrunn und Himmelstadt.,5.0,,False,
Oberaurach liegt im Natuapark Steigerwald.,Die Gemeinde liegt im Naturpark Steigerwald.,4.0,Different details,False,
"Iwaregionoi bekonnt is Wallersdorf duach sei Raubkotzn-Auffongstation, de oanzige deitschlandweit.","Wallersdorf (umgangssprachlich: „Waləʳschdorf“) ist ein Gemeindeteil der kreisfreien Stadt Ansbach (Mittelfranken, Bayern).",2.0,,False,
³ entnumma aus Nordisk Familjebok.,"³ entnommen aus ""Nordisk Familjebok"".",,,False,both are incomplete
Blasoniarung: „In Blau a goidna Kronz mid zehn noch aussn gwenddn dreibladdring Kleebladdln.“.,Blasonierung: „In Blau ein goldener Kranz mit zehn nach außen gewendeten dreiblättrigen Kleeblättern.“.,5.0,,False,
"Zu de Fliss im Département Meuse zehjn: Maas, Aire, Chiers, Ornain, Saulx, Orge, Oignon, Vaise, Orne.","Zu den Flüssen im Département Meuse zählen Maas, Aire, Chiers, Ornain, Saulx, Orge, Ognon, Orne.",4.0,The dialect sentence adds details,False,
"Da Ort is a Filialsiedlung vo Niederdombach, des bis dohi ""Tunnenbach"" gnennt worn is.","Der Ort ist eine Filialsiedlung von Niederdombach, das bis dahin „Tunnenbach“ genannt wurde.",5.0,,True,
Emanuele Dossena (PdL) is im Mai 2006 zum Buagamoasta gwejt worn.,Emanuele Dossena (PdL) wurde im Mai 2006 zum Bürgermeister gewählt.,5.0,,True,
Gambettola hod an Bohhof on da Bahnstrecke Bologna–Ancona.,Gambettola hat einen Bahnhof an der Bahnstrecke Bologna–Ancona.,5.0,,False,
Dano hom oi Industrielle vo Baian und Saxn Fabrikn fia Hoizvooawatung und Babmherstäung baut.,Später errichteten Industrielle aus Bayern und Sachsen in Spiegelau Fabriken für Holzverarbeitung und Pappenherstellung.,4.0,The dialect sentence misses details,True,
Da Eisenhut is mid ana Häh vo da hächsde Beag vo de Nockberge sowia da Gurktala Oipn.,Der Eisenhut ist mit einer Höhe von der höchste Berg der Nockberge sowie der Gurktaler Alpen.,5.0,,False,
"Da Brandon Hardesty (* 13. Aprui 1987 z Baltimore, Maryland) is a amerikanischa Schauspuia.","Brandon Hardesty (* 13. April 1987 in Baltimore, Maryland) ist ein US-amerikanischer Filmschauspieler.",4.0,The dialect sentence misses details,False,
"Heut is duat'n da Varaustoitungsraum ""Waldmüllerzentrum"" füa'r Ausstöllungan und Konzeat'.","Heute befindet sich hier ein Veranstaltungsraum ""Waldmüllerzentrum"", in dem Ausstellungen und Konzerte (häufig mit Wiener Musik) stattfinden.",,,False,idk if duat'n = befindet sich
De Gmoa hod 2011 4231 Einwohner ghod.,Die Gemeinde hatte 2002 4677 Einwohner.,4.0,Major factual inconsistency,True,
"Mittlaweil is es ebenfois festa Bestandteil vo ""CentOS"", ""Hardened Gentoo"" und ""openSUSE"".","Mittlerweile ist es ebenfalls fester Bestandteil von ""CentOS"", ""Hardened Gentoo"" und ""openSUSE"".",5.0,,False,
"Da Jet is a Fluss in Frankreich, dea im Département Finistère in da Region Bretagne valafft.","Der Jet ist ein Fluss in Frankreich, der im Département Finistère in der Region Bretagne verläuft.",5.0,,False,
In da Zoologie kimpt zua speziejn Famij-Rangstuafa no de Famij-Gruppm.,In der Zoologie kommt zur speziellen Familien-Rangstufe noch die aus weiteren Rangstufen bestehende Familien-Gruppe.,4.0,The dialect sentence misses details,False,
Vatreta im Generoirod vom Département is seit 2011 Jérôme Bascher (UMP).,Vertreter im Generalrat des Départements ist seit 2011 Jérôme Bascher (UMP).,5.0,,False,
"Mid de zwoa Songs: ""Finally here"" und ""Boy from another galaxy"" hod de Bänd easchtmois nationale Bekonntheit ealongt.","Mit den beiden Songs ""Finally here"" und ""Boy from another galaxy"" erlangte die Band erstmals nationale Bekanntheit.",5.0,,True,
"FreeBSD is a unixähnlichs Betriebssystem, des af da Berkeley Software Distribution basiad.","FreeBSD ist ein freies und vollständiges unixoides Betriebssystem, das direkt von der Berkeley Software Distribution abstammt.",4.0,The dialect sentence misses details,False,
Im Noadn und Noadostn liegt Kanada mid sei Stootn Quebec und Nei Braunschweig.,Daher gelten Boston und Neuengland gewissermaßen als Geburtsstätte der Vereinigten Staaten.,1.0,,False,
"Zum 1. Jenna 1978 san Espern, Haag, Hagengrub, Lenzing und Welchenberg in de Gmoa Niederwinkling integriat worn.","Zum 1. Januar 1978 wurden Espern, Haag, Hagengrub, Lenzing und Welchenberg in die Gemeinde Niederwinkling integriert.",5.0,,True,
De easchtn Eiropamoastaschoftn san 1893 austrong worn.,Die ersten Europameisterschaften wurden 1893 ausgetragen.,5.0,,True,
Caldwell County is a Beziak im Bundesstoot Kentucky in da USA.,Das Caldwell County ist ein County im US-amerikanischen Bundesstaat Kentucky.,5.0,,False,synonym used
Wilcox County is a Beziak im Bundesstoot Alabama in da USA.,Das Wilcox County ist ein County im Bundesstaat Alabama der Vereinigten Staaten.,5.0,,False,synonym used
1939 is wia iwaroi im Deitschn Reich de Bezeichnung Landkroas eihgfiahd worn.,1939 wurde wie überall im Deutschen Reich die Bezeichnung Landkreis eingeführt.,5.0,,True,
De Afnohm in de Denkmoilistn is in de Joarn 1952 bis 1992 eafoigt.,Die Aufnahme in die Denkmalliste erfolgte in den Jahren 1952 bis 1992.,5.0,,True,
Im Gengsotz zu de Non-Metropolitan-Districts gheat zu de Kompetenzn vo de Metropolitan Boroughs aa de Schuiaufsicht.,Im Gegensatz zu den Non-Metropolitan-Districts gehört zu den Kompetenzen der Metropolitan Boroughs auch die Schulaufsicht.,5.0,,False,
Da Fluss passiad Shepperton im Noadn und mindd om sidlichn End vom Wheatley’s Ait in de Themse.,Der Fluss passiert Shepperton im Norden und mündet am südlichen Ende des Wheatley’s Ait in die Themse.,5.0,,False,
"Im großn Hangar vom Flughofn ""Hörsching"" (bei Linz) hod ma des 50 jaarige Juwileum vo de ""Oberösterreichischen Nachrichten"" gfeiat.","Das Blatt Oberösterreichische Nachrichten (OÖN ""oder"" OÖNachrichten) ist eine überregionale Abonnement-Tageszeitung mit Sitz in Linz.",2.0,,False,
Zürs is a Gmoatei vo Lautrach.,Zürs ist ein Gemeindeteil von Lautrach im Landkreis Unterallgäu.,4.0,The dialect sentence misses details,False,
A vo 1830 bis 1840 gebraichliche Bezeichnung fian Weiler woar „Des weiße Haus“.,Eine von 1830 bis 1840 gebräuchliche Bezeichnung für den Weiler war „Das weiße Haus“.,5.0,,False,
De bis dohi sejbstständige Gmoa is im Joar 1939 noch Lohr am Main eihgmoant worn.,Die bis dahin selbstständige Gemeinde wurde im Jahre 1939 nach Lohr am Main eingemeindet.,5.0,,True,
Im Venuskölla feian de Nymph'n mid da Venus und mit'n Tannhäuser.,Im Venuskeller feiern die Nymphen mit Venus und Tannhäuser.,5.0,,False,
Des Gmoagebiet umfosst a Fläch vo 7 km².,Das Gemeindegebiet umfasst eine Fläche von 7 km².,5.0,,False,
De Einöde liegd uma fimf Kilometa sidli vo Eurasbuag.,Die Einöde liegt circa fünf Kilometer südlich von Eurasburg.,5.0,,False,
Da Sitz vo da Vawoitung is Clay Center.,Der Verwaltungssitz (County Seat) ist Clay Center.,4.0,The dialect sentence misses details,False,
"De Gmoa liegt uma 13,5 Kilometa noadwestli vo Varese und gheat zua ""Comunità montana Valli del Verbano"".",Sie gehört zur Comunità montana Valli del Verbano.,3.0,The dialect sentence adds details,False,
"Da Mordigall, aufg'stach'lt von seina Gattin Gertrude, behaupt', dass de Elsa iah'n Bruadan, in Pafnuzi, umbråcht hättat.","Mordigall, aufgestachelt von seiner Gattin Gertrude, bezichtigt Elsa des Brudermordes an Pafnuzi.",5.0,,False,synonyms used
"Vo da Haptstod Paris san's 230 km iwa de Autoboh ""A1"" und ""A26"", Ausfoaht ""Lillers"".","Von der Hauptstadt Paris sind es 230 km via Autobahn ""A1"" und ""A26"", Ausfahrt ""Lillers"".",5.0,,False,
"De Fläch hod 1472 acres (5,96 km²) bedrong.","Die Fläche betrug 1472 Acres (5,96 km²).",5.0,,True,
Des Doaf Algersdorf is oana vo 21 Ortstei vo da Gmoa Kirchensittenbach im Landkroas Niamberga Land in Bayern.,"Algersdorf ist ein Gemeindeteil der Gemeinde Kirchensittenbach im Landkreis Nürnberger Land (Mittelfranken, Bayern).",4.0,Different details,False,
"Einige diesa Schriftn kennan zwoa Buachstobn ""y"": an eignen Buachstob, und an weidaren fia Fremdweata aas andan Sprochn.","Einige dieser Schriften kennen zwei Buchstaben ""y"": einen eigenen Buchstaben, und einen weiteren für Fremdwörter aus anderen Sprachen.",5.0,,False,
Da Ort is im Joar 1442 easchdmois uakundli eawähnd worn.,Der Ort wurde im Jahr 1442 erstmals urkundlich erwähnt.,5.0,,True,
De Gmoa ghead zan Regionoin Natuapark Caps et Marais d’Opale.,Die Gemeinde gehört zum Regionalen Naturpark Caps et Marais d’Opale.,5.0,,False,
Noch'm Fluss is da Vawoitungsbeziak Kroas Prahova in da Region Walachei bnennt.,Nach dem Fluss ist der Verwaltungsbezirk Kreis Prahova in der Region Walachei benannt.,5.0,,False,
Am 1. Mai 1978 is de bis dohi sejstbständige Gmoa in an Moakt Stadtlauringen eihgliedat worn.,Am 1. Mai 1978 wurde die bis dahin selbständige Gemeinde in den Markt Stadtlauringen eingegliedert.,5.0,,True,
Se is natiali in da Religion und Gschicht untaricht wuan.,Elementare Kenntnisse erlangte sie auch in Latein. Ferner wurde sie auf dem Gebiet der Religion und Geschichte ausgebildet.,3.0,The dialect sentence misses details,True,
"Da Weiler liegt zwischn Ettenstatt und Höttingen, nohe Wöllmetzhofen.","Die Einöde liegt zwischen Ettenstatt und Höttingen, nahe Wöllmetzhofen.",4.0,,False,different words
(ukrainisch ; russisch /) is a Doaf im ukrainischn Oblast Tschernihiw mid 86 Eihwohna (2001).,Rohoschtschi (; ) ist ein Dorf in der ukrainischen Oblast Tschernihiw mit etwa 80 Einwohnern (2001).,,,False,
"Kleinwenkheim is a Stodtei vo Münnerstadt im untafränkischn Landkroas Bad Kissingen, Bayern.","Kleinwenkheim ist ein Stadtteil von Münnerstadt im unterfränkischen Landkreis Bad Kissingen, Bayern.",5.0,,False,
Quarzsond wead ois Baustoff und in da Glos- und Hoibloataindustrie recht haife gnuzt.,Vor allem dieser Quarzsand ist ein bedeutender Rohstoff für das Bauwesen sowie für die Glas- und Halbleiterindustrie.,3.0,Different details,False,
"Itzlishofen (bis 1840 ""Vögele"" gnennt) is a Doaf und Ortstei vom Moakt Fischach im schwäbischn Landkroas Augschburg in Bayern (Deitschland).","Itzlishofen (bis 1840 ""Vögele"" genannt) ist ein Dorf und Gemeindeteil des Marktes Fischach im schwäbischen Landkreis Augsburg in Bayern (Deutschland).",4.0,,False,different words
"Im Lauf vom 12. Joarhundad hom de Ghibellinen sidli vom Ort a Buag baut, de Castel Rozzone long prägt hod.","Während des 12. Jahrhunderts bauten die Ghibellinen südlich des Ortes eine Burg, die Castel Rozzone lange prägte.",5.0,,True,synonym used
Da Ort liegt af ana Häh vo 621 m iwa'm Meearesspiagl.,Der Ort liegt auf einer Höhe von 621 m über dem Meeresspiegel.,5.0,,False,
Rattiszell liegt in da Region Donau-Wald im voadan Boarischn Woid.,Rattiszell liegt in der Region Donau-Wald im Bayerischen Wald.,,,False,idk voadan
"Cyclohexan C6H12, des is des klassische Sechseck.","Cycloalkene sind cyclische Kohlenwasserstoffe, wie zum Beispiel Cyclopentadien.",,,False,
